CO_PROVA_CN,IN_GESTANTE,NU_NOTA_LC,NU_NOTA_COMP1,TP_ESCOLA,TP_ANO_CONCLUIU,Q006,NU_IDADE,IN_SURDEZ,TP_LINGUA,NU_NOTA_COMP5,IN_CEGUEIRA,TP_ST_CONCLUSAO,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,CO_PROVA_LC,IN_SABATISTA,TP_SEXO,NU_NOTA_CN,IN_TREINEIRO,IN_DISLEXIA,IN_DISCALCULIA,NU_NOTA_COMP3,Q002,NU_NOTA_COMP4,TP_COR_RACA,TP_PRESENCA_CN,Q026,IN_BAIXA_VISAO,CO_PROVA_CH,Q025,TP_PRESENCA_CH,NU_NOTA_COMP2,TP_NACIONALIDADE,Q001,Q047,Q024,TP_STATUS_REDACAO,CO_PROVA_MT,NU_NOTA_REDACAO,NU_NOTA_CH,IN_IDOSO,TP_PRESENCA_LC,NU_NOTA_MT
16f84b7b3d2aeaff7d2f01297e6b3d0e25c77bb2,0,581.2,120.0,1,4,C,24,0,1,80.0,0,1,43,RS,01af53cd161a420fff1767129c10de560cc264dd,0,M,436.3,0,0,0,120.0,D,80.0,1,1,C,0,9cd70f1b922e02bd33453b3f607f5a644fb9b1b8,A,1,120.0,1,D,A,A,1.0,97caab1e1533dba217deb7ef41490f52e459ab01,520.0,495.4,0,1,399.4
b9b06ce8c319a3df2158ea3d0aef0f7d3eecaed7,0,599.0,140.0,2,0,B,17,0,1,80.0,0,2,23,CE,01af53cd161a420fff1767129c10de560cc264dd,0,F,474.5,0,0,0,120.0,A,120.0,3,1,A,0,909237ab0d84688e10c0470e2997348aff585273,A,1,120.0,1,A,A,A,1.0,97caab1e1533dba217deb7ef41490f52e459ab01,580.0,544.1,0,1,459.8
2d22ac1d42e6187f09ee6c578df187a760123ccf,0,0.0,0.0,1,0,C,21,0,1,0.0,0,3,23,CE,2d22ac1d42e6187f09ee6c578df187a760123ccf,0,F,0.0,0,0,0,0.0,D,0.0,3,0,A,0,2d22ac1d42e6187f09ee6c578df187a760123ccf,A,0,0.0,1,D,A,A,0.0,2d22ac1d42e6187f09ee6c578df187a760123ccf,0.0,0.0,0,0,0.0
2d22ac1d42e6187f09ee6c578df187a760123ccf,0,0.0,0.0,1,9,E,25,0,0,0.0,0,1,33,RJ,2d22ac1d42e6187f09ee6c578df187a760123ccf,0,F,0.0,0,0,0,0.0,E,0.0,0,0,C,0,2d22ac1d42e6187f09ee6c578df187a760123ccf,B,0,0.0,1,H,D,C,0.0,2d22ac1d42e6187f09ee6c578df187a760123ccf,0.0,0.0,0,0,0.0
2d22ac1d42e6187f09ee6c578df187a760123ccf,0,0.0,0.0,1,4,C,28,0,1,0.0,0,1,13,AM,2d22ac1d42e6187f09ee6c578df187a760123ccf,0,M,0.0,0,0,0,0.0,D,0.0,2,0,B,0,2d22ac1d42e6187f09ee6c578df187a760123ccf,A,0,0.0,1,E,A,A,0.0,2d22ac1d42e6187f09ee6c578df187a760123ccf,0.0,0.0,0,0,0.0
c8328ebc6f3238e06076c481bc1b82b8301e7a3f,0,410.9,120.0,1,1,C,18,0,0,100.0,0,1,29,BA,01abbb7f1a90505385f44eec9905f82ca2a42cfd,0,F,439.7,0,0,0,120.0,E,160.0,1,1,A,0,f48d390ab6a2428e659c37fb8a9d00afde621889,B,1,120.0,1,E,A,B,1.0,81d0ee00ef42a7c23eb04496458c03d4c5b9c31a,620.0,583.2,0,1,364.5
66b1dad288e13be0992bae01e81f71eca1c6e8a6,0,484.5,100.0,2,0,C,18,0,0,100.0,0,2,51,MT,5aebe5cad7fabc1545ac7fba07a4e6177f98483c,0,F,420.1,0,0,0,120.0,D,120.0,3,1,C,0,942ab3dc020af4cf53740b6b07e9dd7060b24164,B,1,120.0,1,E,A,B,1.0,767a32545304ed293242d528f54d4edb1369f910,560.0,604.2,0,1,529.2
b9b06ce8c319a3df2158ea3d0aef0f7d3eecaed7,0,611.2,140.0,1,1,L,18,0,0,120.0,0,1,43,RS,72f80e4b3150c627c7ffc93cfe0fa13a9989b610,0,F,619.6,0,0,0,120.0,F,120.0,1,1,A,0,909237ab0d84688e10c0470e2997348aff585273,B,1,120.0,1,G,D,B,1.0,577f8968d95046f5eb5cc158608e12fa9ba34c85,620.0,625.8,0,1,566.7
b9b06ce8c319a3df2158ea3d0aef0f7d3eecaed7,0,521.8,140.0,2,0,B,16,0,1,100.0,0,2,26,PE,5aebe5cad7fabc1545ac7fba07a4e6177f98483c,0,F,500.5,0,0,0,140.0,E,140.0,3,1,A,0,909237ab0d84688e10c0470e2997348aff585273,B,1,160.0,1,H,A,A,1.0,767a32545304ed293242d528f54d4edb1369f910,680.0,555.2,0,1,372.4
2d22ac1d42e6187f09ee6c578df187a760123ccf,0,0.0,0.0,1,0,G,24,0,0,0.0,0,4,31,MG,2d22ac1d42e6187f09ee6c578df187a760123ccf,0,M,0.0,0,0,0,0.0,E,0.0,4,0,B,0,2d22ac1d42e6187f09ee6c578df187a760123ccf,B,0,0.0,2,H,A,B,0.0,2d22ac1d42e6187f09ee6c578df187a760123ccf,0.0,0.0,0,0,0.0
16f84b7b3d2aeaff7d2f01297e6b3d0e25c77bb2,0,533.9,100.0,1,8,B,29,0,1,120.0,0,1,26,PE,5aebe5cad7fabc1545ac7fba07a4e6177f98483c,0,F,413.4,0,0,0,100.0,B,100.0,3,1,C,0,9cd70f1b922e02bd33453b3f607f5a644fb9b1b8,A,1,100.0,1,A,A,A,1.0,767a32545304ed293242d528f54d4edb1369f910,520.0,407.9,0,1,419.6
66b1dad288e13be0992bae01e81f71eca1c6e8a6,0,490.1,120.0,2,0,B,17,0,1,60.0,0,2,21,MA,01abbb7f1a90505385f44eec9905f82ca2a42cfd,0,F,503.4,0,0,0,120.0,E,120.0,3,1,A,0,942ab3dc020af4cf53740b6b07e9dd7060b24164,A,1,160.0,1,D,A,A,1.0,81d0ee00ef42a7c23eb04496458c03d4c5b9c31a,580.0,509.6,0,1,369.9
c8328ebc6f3238e06076c481bc1b82b8301e7a3f,0,599.0,120.0,1,7,B,27,0,0,0.0,0,1,43,RS,5aebe5cad7fabc1545ac7fba07a4e6177f98483c,0,M,402.6,0,0,0,40.0,E,120.0,3,1,B,0,f48d390ab6a2428e659c37fb8a9d00afde621889,A,1,80.0,1,B,A,C,1.0,767a32545304ed293242d528f54d4edb1369f910,360.0,556.9,0,1,464.2
2d22ac1d42e6187f09ee6c578df187a760123ccf,0,0.0,0.0,1,2,C,19,0,0,0.0,0,1,23,CE,2d22ac1d42e6187f09ee6c578df187a760123ccf,0,F,0.0,0,0,0,0.0,D,0.0,3,0,C,0,2d22ac1d42e6187f09ee6c578df187a760123ccf,B,0,0.0,1,D,A,B,0.0,2d22ac1d42e6187f09ee6c578df187a760123ccf,0.0,0.0,0,0,0.0
b9b06ce8c319a3df2158ea3d0aef0f7d3eecaed7,0,511.9,100.0,1,2,A,18,0,0,60.0,0,1,24,RN,5aebe5cad7fabc1545ac7fba07a4e6177f98483c,0,M,477.8,0,0,0,60.0,A,80.0,3,1,A,0,909237ab0d84688e10c0470e2997348aff585273,A,1,60.0,1,B,A,A,1.0,767a32545304ed293242d528f54d4edb1369f910,360.0,462.9,0,1,453.4
2d22ac1d42e6187f09ee6c578df187a760123ccf,0,0.0,0.0,1,1,C,18,0,0,0.0,0,1,50,MS,2d22ac1d42e6187f09ee6c578df187a760123ccf,0,F,0.0,0,0,0,0.0,D,0.0,3,0,C,0,2d22ac1d42e6187f09ee6c578df187a760123ccf,A,0,0.0,1,D,A,A,0.0,2d22ac1d42e6187f09ee6c578df187a760123ccf,0.0,0.0,0,0,0.0
66b1dad288e13be0992bae01e81f71eca1c6e8a6,0,596.5,160.0,1,0,J,16,0,0,80.0,0,3,41,PR,72f80e4b3150c627c7ffc93cfe0fa13a9989b610,0,M,561.8,1,0,0,160.0,G,160.0,1,1,C,0,942ab3dc020af4cf53740b6b07e9dd7060b24164,B,1,160.0,1,F,D,B,1.0,577f8968d95046f5eb5cc158608e12fa9ba34c85,720.0,640.8,0,1,480.4
c8328ebc6f3238e06076c481bc1b82b8301e7a3f,0,517.4,120.0,2,0,B,24,0,1,60.0,0,2,21,MA,01abbb7f1a90505385f44eec9905f82ca2a42cfd,0,F,474.4,0,0,0,80.0,A,120.0,2,1,C,0,f48d390ab6a2428e659c37fb8a9d00afde621889,A,1,80.0,1,A,A,A,1.0,81d0ee00ef42a7c23eb04496458c03d4c5b9c31a,460.0,540.0,0,1,402.4
16f84b7b3d2aeaff7d2f01297e6b3d0e25c77bb2,0,569.5,100.0,1,1,B,20,0,1,120.0,0,1,15,PA,01af53cd161a420fff1767129c10de560cc264dd,0,M,395.5,0,0,0,80.0,C,100.0,3,1,A,0,9cd70f1b922e02bd33453b3f607f5a644fb9b1b8,A,1,120.0,1,D,A,A,1.0,97caab1e1533dba217deb7ef41490f52e459ab01,520.0,425.2,0,1,475.8
c8328ebc6f3238e06076c481bc1b82b8301e7a3f,0,0.0,0.0,1,0,D,21,0,1,0.0,0,4,31,MG,2d22ac1d42e6187f09ee6c578df187a760123ccf,0,F,393.3,0,0,0,0.0,G,0.0,3,1,B,0,f48d390ab6a2428e659c37fb8a9d00afde621889,B,1,0.0,1,B,A,A,0.0,2d22ac1d42e6187f09ee6c578df187a760123ccf,0.0,429.6,0,0,0.0
c8328ebc6f3238e06076c481bc1b82b8301e7a3f,0,588.2,160.0,2,0,C,18,0,1,180.0,0,2,31,MG,01abbb7f1a90505385f44eec9905f82ca2a42cfd,0,F,471.9,0,0,0,160.0,B,140.0,1,1,A,0,f48d390ab6a2428e659c37fb8a9d00afde621889,A,1,140.0,1,C,A,A,1.0,81d0ee00ef42a7c23eb04496458c03d4c5b9c31a,780.0,628.0,0,1,518.0
2d22ac1d42e6187f09ee6c578df187a760123ccf,0,0.0,0.0,1,4,D,24,0,0,0.0,0,1,53,DF,2d22ac1d42e6187f09ee6c578df187a760123ccf,0,M,0.0,0,0,0,0.0,D,0.0,3,0,C,0,2d22ac1d42e6187f09ee6c578df187a760123ccf,B,0,0.0,1,H,A,B,0.0,2d22ac1d42e6187f09ee6c578df187a760123ccf,0.0,0.0,0,0,0.0
2d22ac1d42e6187f09ee6c578df187a760123ccf,0,0.0,0.0,1,6,C,24,0,1,0.0,0,1,43,RS,2d22ac1d42e6187f09ee6c578df187a760123ccf,0,M,0.0,0,0,0,0.0,E,0.0,1,0,B,0,2d22ac1d42e6187f09ee6c578df187a760123ccf,A,0,0.0,1,D,A,A,0.0,2d22ac1d42e6187f09ee6c578df187a760123ccf,0.0,0.0,0,0,0.0
2d22ac1d42e6187f09ee6c578df187a760123ccf,0,0.0,0.0,1,0,B,17,0,1,0.0,0,3,41,PR,2d22ac1d42e6187f09ee6c578df187a760123ccf,0,F,0.0,1,0,0,0.0,B,0.0,3,0,A,0,2d22ac1d42e6187f09ee6c578df187a760123ccf,B,0,0.0,1,H,A,B,0.0,2d22ac1d42e6187f09ee6c578df187a760123ccf,0.0,0.0,0,0,0.0
2d22ac1d42e6187f09ee6c578df187a760123ccf,0,0.0,0.0,1,10,B,30,0,1,0.0,0,1,31,MG,2d22ac1d42e6187f09ee6c578df187a760123ccf,0,F,0.0,0,0,0,0.0,B,0.0,1,0,A,0,2d22ac1d42e6187f09ee6c578df187a760123ccf,B,0,0.0,1,B,A,B,0.0,2d22ac1d42e6187f09ee6c578df187a760123ccf,0.0,0.0,0,0,0.0
16f84b7b3d2aeaff7d2f01297e6b3d0e25c77bb2,0,559.1,120.0,1,1,B,18,0,1,40.0,0,1,31,MG,01af53cd161a420fff1767129c10de560cc264dd,0,F,484.8,0,0,0,120.0,D,120.0,3,1,A,0,9cd70f1b922e02bd33453b3f607f5a644fb9b1b8,B,1,100.0,1,D,A,B,1.0,97caab1e1533dba217deb7ef41490f52e459ab01,500.0,485.3,0,1,475.3
2d22ac1d42e6187f09ee6c578df187a760123ccf,0,0.0,0.0,1,5,D,22,0,0,0.0,0,1,52,GO,2d22ac1d42e6187f09ee6c578df187a760123ccf,0,M,0.0,0,0,0,0.0,D,0.0,3,0,C,0,2d22ac1d42e6187f09ee6c578df187a760123ccf,B,0,0.0,1,D,A,B,0.0,2d22ac1d42e6187f09ee6c578df187a760123ccf,0.0,0.0,0,0,0.0
16f84b7b3d2aeaff7d2f01297e6b3d0e25c77bb2,0,472.8,120.0,2,0,B,19,0,0,40.0,0,2,32,ES,72f80e4b3150c627c7ffc93cfe0fa13a9989b610,0,M,473.2,0,0,0,80.0,B,80.0,3,1,B,0,9cd70f1b922e02bd33453b3f607f5a644fb9b1b8,A,1,80.0,1,B,A,A,1.0,577f8968d95046f5eb5cc158608e12fa9ba34c85,400.0,439.1,0,1,430.8
66b1dad288e13be0992bae01e81f71eca1c6e8a6,0,522.5,120.0,2,0,C,19,0,0,20.0,0,2,35,SP,5aebe5cad7fabc1545ac7fba07a4e6177f98483c,0,F,390.4,0,0,0,100.0,C,120.0,3,1,B,0,942ab3dc020af4cf53740b6b07e9dd7060b24164,B,1,80.0,1,B,A,B,1.0,767a32545304ed293242d528f54d4edb1369f910,440.0,521.3,0,1,377.3
03b1fba5c1ebbc47988cd303b08982cfb2aa9cf2,0,483.1,120.0,1,4,F,21,0,1,40.0,0,1,41,PR,9cbf6bf31d9d89a64ce2737ece4834fde4a95029,0,M,475.8,0,0,0,120.0,B,120.0,3,1,C,0,f94e97c2a5689edd5369740fde9a927e23a9465f,A,1,120.0,1,B,A,B,1.0,0ec1c8ac02d2747b6e9a99933fbf96127dd6e89e,520.0,530.0,0,1,467.3
16f84b7b3d2aeaff7d2f01297e6b3d0e25c77bb2,0,530.1,160.0,1,2,B,21,0,1,140.0,0,1,21,MA,72f80e4b3150c627c7ffc93cfe0fa13a9989b610,0,F,413.6,0,0,0,160.0,C,160.0,3,1,B,0,9cd70f1b922e02bd33453b3f607f5a644fb9b1b8,B,1,160.0,1,E,A,B,1.0,577f8968d95046f5eb5cc158608e12fa9ba34c85,780.0,522.3,0,1,553.9
c8328ebc6f3238e06076c481bc1b82b8301e7a3f,0,424.6,160.0,2,0,B,17,0,0,100.0,0,2,26,PE,01abbb7f1a90505385f44eec9905f82ca2a42cfd,0,F,510.0,0,0,0,140.0,D,160.0,3,1,A,0,f48d390ab6a2428e659c37fb8a9d00afde621889,A,1,160.0,1,E,A,A,1.0,81d0ee00ef42a7c23eb04496458c03d4c5b9c31a,720.0,560.2,0,1,394.0
16f84b7b3d2aeaff7d2f01297e6b3d0e25c77bb2,0,470.5,120.0,2,0,D,19,0,1,140.0,0,2,23,CE,5aebe5cad7fabc1545ac7fba07a4e6177f98483c,0,M,440.0,0,0,0,100.0,B,120.0,1,1,A,0,9cd70f1b922e02bd33453b3f607f5a644fb9b1b8,A,1,120.0,1,B,A,B,1.0,767a32545304ed293242d528f54d4edb1369f910,600.0,477.2,0,1,415.5
c8328ebc6f3238e06076c481bc1b82b8301e7a3f,0,402.9,140.0,2,0,A,17,0,1,100.0,0,2,33,RJ,01abbb7f1a90505385f44eec9905f82ca2a42cfd,0,F,430.6,0,0,0,120.0,C,140.0,3,1,B,0,f48d390ab6a2428e659c37fb8a9d00afde621889,A,1,120.0,2,C,A,A,1.0,81d0ee00ef42a7c23eb04496458c03d4c5b9c31a,620.0,544.2,0,1,427.3
c8328ebc6f3238e06076c481bc1b82b8301e7a3f,0,518.5,120.0,1,6,D,24,0,0,40.0,0,1,35,SP,5aebe5cad7fabc1545ac7fba07a4e6177f98483c,0,F,449.7,0,0,0,120.0,C,120.0,2,1,C,0,f48d390ab6a2428e659c37fb8a9d00afde621889,B,1,120.0,1,D,A,A,1.0,767a32545304ed293242d528f54d4edb1369f910,520.0,485.0,0,1,508.0
16f84b7b3d2aeaff7d2f01297e6b3d0e25c77bb2,0,542.5,160.0,2,0,B,17,0,1,120.0,0,2,13,AM,01abbb7f1a90505385f44eec9905f82ca2a42cfd,0,F,465.7,0,0,0,160.0,D,160.0,3,1,A,0,9cd70f1b922e02bd33453b3f607f5a644fb9b1b8,A,1,160.0,1,A,A,A,1.0,81d0ee00ef42a7c23eb04496458c03d4c5b9c31a,760.0,559.7,0,1,563.6
b9b06ce8c319a3df2158ea3d0aef0f7d3eecaed7,0,441.9,100.0,2,0,H,18,0,1,80.0,0,2,43,RS,01af53cd161a420fff1767129c10de560cc264dd,0,F,477.3,0,0,0,80.0,F,80.0,1,1,A,0,909237ab0d84688e10c0470e2997348aff585273,B,1,80.0,1,C,A,B,1.0,97caab1e1533dba217deb7ef41490f52e459ab01,420.0,554.3,0,1,383.2
