IN_SABATISTA,NU_NOTA_COMP3,Q002,TP_STATUS_REDACAO,NU_IDADE,TP_NACIONALIDADE,NU_NOTA_LC,Q006,Q024,NU_NOTA_COMP2,Q001,TP_SEXO,TP_LINGUA,TP_ESCOLA,Q047,IN_CEGUEIRA,NU_NOTA_CN,TP_COR_RACA,Q025,NU_NOTA_COMP4,IN_IDOSO,TP_PRESENCA_LC,TP_ST_CONCLUSAO,NU_NOTA_REDACAO,TP_PRESENCA_MT,NU_NOTA_CH,IN_BAIXA_VISAO,IN_DISCALCULIA,NU_NOTA_COMP1,IN_SURDEZ,SG_UF_RESIDENCIA,IN_DISLEXIA,TP_PRESENCA_CN,TP_PRESENCA_CH,NU_NOTA_COMP5,Q026,TP_ANO_CONCLUIU,IN_GESTANTE,IN_TREINEIRO
0,120.0,D,1.0,24,1,581.2,C,A,120.0,D,M,1,1,A,0,436.3,1,A,80.0,0,1,1,520.0,1,495.4,0,0,120.0,0,RS,0,1,1,80.0,C,4,0,0
0,120.0,A,1.0,17,1,599.0,B,A,120.0,A,F,1,2,A,0,474.5,3,A,120.0,0,1,2,580.0,1,544.1,0,0,140.0,0,CE,0,1,1,80.0,A,0,0,0
0,0.0,D,0.0,21,1,0.0,C,A,0.0,D,F,1,1,A,0,0.0,3,A,0.0,0,0,3,0.0,0,0.0,0,0,0.0,0,CE,0,0,0,0.0,A,0,0,0
0,0.0,E,0.0,25,1,0.0,E,C,0.0,H,F,0,1,D,0,0.0,0,B,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,RJ,0,0,0,0.0,C,9,0,0
0,0.0,D,0.0,28,1,0.0,C,A,0.0,E,M,1,1,A,0,0.0,2,A,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,AM,0,0,0,0.0,B,4,0,0
0,120.0,E,1.0,18,1,410.9,C,B,120.0,E,F,0,1,A,0,439.7,1,B,160.0,0,1,1,620.0,1,583.2,0,0,120.0,0,BA,0,1,1,100.0,A,1,0,0
0,120.0,D,1.0,18,1,484.5,C,B,120.0,E,F,0,2,A,0,420.1,3,B,120.0,0,1,2,560.0,1,604.2,0,0,100.0,0,MT,0,1,1,100.0,C,0,0,0
0,120.0,F,1.0,18,1,611.2,L,B,120.0,G,F,0,1,D,0,619.6,1,B,120.0,0,1,1,620.0,1,625.8,0,0,140.0,0,RS,0,1,1,120.0,A,1,0,0
0,140.0,E,1.0,16,1,521.8,B,A,160.0,H,F,1,2,A,0,500.5,3,B,140.0,0,1,2,680.0,1,555.2,0,0,140.0,0,PE,0,1,1,100.0,A,0,0,0
0,0.0,E,0.0,24,2,0.0,G,B,0.0,H,M,0,1,A,0,0.0,4,B,0.0,0,0,4,0.0,0,0.0,0,0,0.0,0,MG,0,0,0,0.0,B,0,0,0
0,100.0,B,1.0,29,1,533.9,B,A,100.0,A,F,1,1,A,0,413.4,3,A,100.0,0,1,1,520.0,1,407.9,0,0,100.0,0,PE,0,1,1,120.0,C,8,0,0
0,120.0,E,1.0,17,1,490.1,B,A,160.0,D,F,1,2,A,0,503.4,3,A,120.0,0,1,2,580.0,1,509.6,0,0,120.0,0,MA,0,1,1,60.0,A,0,0,0
0,40.0,E,1.0,27,1,599.0,B,C,80.0,B,M,0,1,A,0,402.6,3,A,120.0,0,1,1,360.0,1,556.9,0,0,120.0,0,RS,0,1,1,0.0,B,7,0,0
0,0.0,D,0.0,19,1,0.0,C,B,0.0,D,F,0,1,A,0,0.0,3,B,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,CE,0,0,0,0.0,C,2,0,0
0,60.0,A,1.0,18,1,511.9,A,A,60.0,B,M,0,1,A,0,477.8,3,A,80.0,0,1,1,360.0,1,462.9,0,0,100.0,0,RN,0,1,1,60.0,A,2,0,0
0,0.0,D,0.0,18,1,0.0,C,A,0.0,D,F,0,1,A,0,0.0,3,A,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,MS,0,0,0,0.0,C,1,0,0
0,160.0,G,1.0,16,1,596.5,J,B,160.0,F,M,0,1,D,0,561.8,1,B,160.0,0,1,3,720.0,1,640.8,0,0,160.0,0,PR,0,1,1,80.0,C,0,0,1
0,80.0,A,1.0,24,1,517.4,B,A,80.0,A,F,1,2,A,0,474.4,2,A,120.0,0,1,2,460.0,1,540.0,0,0,120.0,0,MA,0,1,1,60.0,C,0,0,0
0,80.0,C,1.0,20,1,569.5,B,A,120.0,D,M,1,1,A,0,395.5,3,A,100.0,0,1,1,520.0,1,425.2,0,0,100.0,0,PA,0,1,1,120.0,A,1,0,0
0,0.0,G,0.0,21,1,0.0,D,A,0.0,B,F,1,1,A,0,393.3,3,B,0.0,0,0,4,0.0,0,429.6,0,0,0.0,0,MG,0,1,1,0.0,B,0,0,0
0,160.0,B,1.0,18,1,588.2,C,A,140.0,C,F,1,2,A,0,471.9,1,A,140.0,0,1,2,780.0,1,628.0,0,0,160.0,0,MG,0,1,1,180.0,A,0,0,0
0,0.0,D,0.0,24,1,0.0,D,B,0.0,H,M,0,1,A,0,0.0,3,B,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,DF,0,0,0,0.0,C,4,0,0
0,0.0,E,0.0,24,1,0.0,C,A,0.0,D,M,1,1,A,0,0.0,1,A,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,RS,0,0,0,0.0,B,6,0,0
0,0.0,B,0.0,17,1,0.0,B,B,0.0,H,F,1,1,A,0,0.0,3,B,0.0,0,0,3,0.0,0,0.0,0,0,0.0,0,PR,0,0,0,0.0,A,0,0,1
0,0.0,B,0.0,30,1,0.0,B,B,0.0,B,F,1,1,A,0,0.0,1,B,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,MG,0,0,0,0.0,A,10,0,0
0,120.0,D,1.0,18,1,559.1,B,B,100.0,D,F,1,1,A,0,484.8,3,B,120.0,0,1,1,500.0,1,485.3,0,0,120.0,0,MG,0,1,1,40.0,A,1,0,0
0,0.0,D,0.0,22,1,0.0,D,B,0.0,D,M,0,1,A,0,0.0,3,B,0.0,0,0,1,0.0,0,0.0,0,0,0.0,0,GO,0,0,0,0.0,C,5,0,0
0,80.0,B,1.0,19,1,472.8,B,A,80.0,B,M,0,2,A,0,473.2,3,A,80.0,0,1,2,400.0,1,439.1,0,0,120.0,0,ES,0,1,1,40.0,B,0,0,0
0,100.0,C,1.0,19,1,522.5,C,B,80.0,B,F,0,2,A,0,390.4,3,B,120.0,0,1,2,440.0,1,521.3,0,0,120.0,0,SP,0,1,1,20.0,B,0,0,0
0,120.0,B,1.0,21,1,483.1,F,B,120.0,B,M,1,1,A,0,475.8,3,A,120.0,0,1,1,520.0,1,530.0,0,0,120.0,0,PR,0,1,1,40.0,C,4,0,0
0,160.0,C,1.0,21,1,530.1,B,B,160.0,E,F,1,1,A,0,413.6,3,B,160.0,0,1,1,780.0,1,522.3,0,0,160.0,0,MA,0,1,1,140.0,B,2,0,0
0,140.0,D,1.0,17,1,424.6,B,A,160.0,E,F,0,2,A,0,510.0,3,A,160.0,0,1,2,720.0,1,560.2,0,0,160.0,0,PE,0,1,1,100.0,A,0,0,0
0,100.0,B,1.0,19,1,470.5,D,B,120.0,B,M,1,2,A,0,440.0,1,A,120.0,0,1,2,600.0,1,477.2,0,0,120.0,0,CE,0,1,1,140.0,A,0,0,0
